,Instrument,Date,TR.UpstreamScope3PurchasedGoodsAndServices
21920,SCAb.ST,2021,140000.0
21921,SCAb.ST,2022,158000.0
21922,SCAb.ST,2023,157900.0
21923,SCAb.ST,2024,155200.0
21930,MTGb.ST,2022,492.2
21931,MTGb.ST,2023,492.2
21932,MTGb.ST,2024,210.1
21936,4922.T,2019,501099.5
21937,4922.T,2020,410043.5
21938,4922.T,2021,356114.3
21939,4922.T,2022,293772.278
21940,4922.T,2023,386756.9
21941,4922.T,2024,358968.1
21945,URI.N,2019,318754.0
21946,URI.N,2020,266093.0
21947,URI.N,2021,234392.0
21948,URI.N,2022,357081.0
21949,URI.N,2023,411587.0
21950,URI.N,2024,437943.0
21956,COMI.CA,2021,264.0
21957,COMI.CA,2022,2641.0
21958,COMI.CA,2023,2656.0
21965,VANQ.L,2021,17579.0
21966,VANQ.L,2022,16420.0
21967,VANQ.L,2023,20210.0
21968,VANQ.L,2024,23439.0
21975,SCOR.PA,2022,527.0
21976,SCOR.PA,2023,588.0
21977,SCOR.PA,2024,498.0
21985,O.N,2023,13598.0
21986,O.N,2024,8447.0
21989,GWW.N,2018,2375551.0
21990,GWW.N,2019,1748442.0
21991,GWW.N,2020,3063173.0
21992,GWW.N,2021,3144481.0
21993,GWW.N,2022,2000000.0
21994,GWW.N,2023,3000000.0
21999,MCO.N,2019,122500.0
22000,MCO.N,2020,86000.0
22001,MCO.N,2021,102900.0
22002,MCO.N,2022,106100.0
22003,MCO.N,2023,94400.0
22010,CAIV.VI,2021,76.0
22011,CAIV.VI,2022,55.0
22021,LSL.L,2023,10391.0
22022,LSL.L,2024,3775.9
22030,MTLS.OQ,2023,3732.6
22031,MTLS.OQ,2024,4120.43
22037,HZNC.NS,2021,314837.0
22038,HZNC.NS,2022,369317.0
22039,HZNC.NS,2023,369654.0
22040,HZNC.NS,2024,432386.0
22046,AMP.AX,2021,4371.0
22047,AMP.AX,2022,1911.0
22048,AMP.AX,2023,2793.0
22049,AMP.AX,2024,1578.0
22057,VNV.ST,2023,28.8
22058,VNV.ST,2024,28.2
22064,VOLCARb.ST,2021,11650000.0
22065,VOLCARb.ST,2022,12113000.0
22066,VOLCARb.ST,2023,14304000.0
22067,VOLCARb.ST,2024,11019000.0
22075,TROW.OQ,2023,78553.0
22076,TROW.OQ,2024,113323.0
22082,DPM.TO,2021,153693.0
22083,DPM.TO,2022,179353.0
22084,DPM.TO,2023,195616.0
22085,DPM.TO,2024,103696.0
22090,SCS.N,2020,643035.0
22091,SCS.N,2021,425991.0
22092,SCS.N,2022,844094.0
22093,SCS.N,2023,705346.0
22094,SCS.N,2024,1116250.0
22100,CEMI.MI,2021,685842.0
22101,CEMI.MI,2022,2096568.0
22102,CEMI.MI,2023,1264467.0
22103,CEMI.MI,2024,1225411.0
22110,BWY.L,2022,407256.0
22111,BWY.L,2023,399113.0
22112,BWY.L,2024,276418.0
22117,AKTIA.HE,2020,315.0
22119,AKTIA.HE,2022,380.0
22120,AKTIA.HE,2023,80.0
22121,AKTIA.HE,2024,20.0
22127,MUVGn.DE,2021,1710.0
22128,MUVGn.DE,2022,1349.0
22129,MUVGn.DE,2023,1324.0
22130,MUVGn.DE,2024,1286.0
22134,ASSAb.ST,2019,15676868.0
22135,ASSAb.ST,2020,13621590.0
22136,ASSAb.ST,2021,16805686.0
22137,ASSAb.ST,2022,17952949.0
22138,ASSAb.ST,2023,15240417.0
22139,ASSAb.ST,2024,3763353.0
22146,RBA.TO,2022,124189.0
22147,RBA.TO,2023,178693.0
22148,RBA.TO,2024,511879.0
22155,DAR.N,2022,15506446.0
22156,DAR.N,2023,9124000.0
22157,DAR.N,2024,12615000.0
22161,LPX.N,2019,749000.0
22162,LPX.N,2020,730000.0
22163,LPX.N,2021,769000.0
22164,LPX.N,2022,821000.0
22165,LPX.N,2023,687000.0
22166,LPX.N,2024,712000.0
22170,6995.T,2019,216782.0
22171,6995.T,2020,442120.0
22172,6995.T,2021,401596.0
22173,6995.T,2022,410344.0
22174,6995.T,2023,404609.0
22175,6995.T,2024,1324065.0
22180,TPR.N,2020,34245.0
22181,TPR.N,2021,310756.0
22182,TPR.N,2022,324196.0
22183,TPR.N,2023,547532.41
22184,TPR.N,2024,487145.39
22190,YPSN.S,2021,36033.0
22191,YPSN.S,2022,35893.0
22192,YPSN.S,2023,38741.0
22193,YPSN.S,2024,58830.0
22198,AXL.N,2020,2334766.0
22199,AXL.N,2021,2120500.0
22200,AXL.N,2022,2159950.0
22201,AXL.N,2023,1924135.0
22202,AXL.N,2024,2931743.0
22205,MOLB.BU,2018,1644265.0
22206,MOLB.BU,2019,1987464.0
22207,MOLB.BU,2020,2110183.0
22208,MOLB.BU,2021,2081670.0
22209,MOLB.BU,2022,2004138.0
22210,MOLB.BU,2023,1827952.0
22211,MOLB.BU,2024,1854922.0
22219,HLAG.DE,2023,3926.0
22220,HLAG.DE,2024,129272.0
22225,CRH.N,2020,6900000.0
22226,CRH.N,2021,7500000.0
22227,CRH.N,2022,8500000.0
22228,CRH.N,2023,8100000.0
22229,CRH.N,2024,11500000.0
22235,NATB.BH,2021,8.0
22236,NATB.BH,2022,24.0
22237,NATB.BH,2023,15.81
22238,NATB.BH,2024,16.87
22244,LUG.TO,2021,132381.0
22245,LUG.TO,2022,110451.0
22246,LUG.TO,2023,113818.0
22247,LUG.TO,2024,86447.0
22254,PXA.AX,2022,4343.4
22255,PXA.AX,2023,10567.19
22256,PXA.AX,2024,5801.9
22262,8267.T,2021,3625567.0
22263,8267.T,2022,3627054.0
22264,8267.T,2023,3734789.0
22265,8267.T,2024,4333880.0
22271,APTV.N,2021,4765231.7
22272,APTV.N,2022,5500002.0
22273,APTV.N,2023,6218895.0
22274,APTV.N,2024,4476832.0
22281,MEKKO.HE,2022,33368.0
22282,MEKKO.HE,2023,26021.0
22283,MEKKO.HE,2024,29837.0
22287,OCI.AS,2019,3516782.0
22291,OCI.AS,2023,5295425.0
22292,OCI.AS,2024,4040135.0
22296,7337.T,2019,13261.7
22297,7337.T,2020,14098.5
22298,7337.T,2021,13661.0
22299,7337.T,2022,14815.7
22300,7337.T,2023,12112.3
22301,7337.T,2024,9050.9
22306,5802.T,2020,9259000.0
22307,5802.T,2021,8444000.0
22308,5802.T,2022,13102000.0
22309,5802.T,2023,13062000.0
22310,5802.T,2024,16241000.0
22316,TMV.DE,2021,33928.0
22317,TMV.DE,2022,23673.0
22318,TMV.DE,2023,16278.0
22319,TMV.DE,2024,13344.0
22322,4004.T,2018,3437000.0
22323,4004.T,2019,3539000.0
22324,4004.T,2020,4000000.0
22325,4004.T,2021,4700000.0
22326,4004.T,2022,1969000.0
22327,4004.T,2023,3556000.0
22334,1662.T,2021,37000.0
